miRNA_ID,GSM2385148,GSM2385149,GSM2385150,GSM2385151,GSM2385152,GSM2385153,GSM2385154,GSM2385155,GSM2385156,GSM2385157,GSM2385158,GSM2385159,GSM2385160,GSM2385161,GSM2385162,GSM2385163,GSM2385164,GSM2385165,GSM2385166,GSM2385167,GSM2385168,GSM2385169,GSM2385170,GSM2385171,GSM2385172,GSM2385173,GSM2385174,GSM2385175,GSM2385176,GSM2385177,GSM2385178,GSM2385179,GSM2385180,GSM2385181,GSM2385182,GSM2385183,GSM2385184,GSM2385185,GSM2385186,GSM2385187,GSM2385188,GSM2385189,GSM2385190,GSM2385191,GSM2385192,GSM2385193,GSM2385194,GSM2385195,GSM2385196,GSM2385197,GSM2385198,GSM2385199,GSM2385200,GSM2385201,GSM2385202,GSM2385203,GSM2385204,GSM2385205,GSM2385206,GSM2385207
hsa-miR-4528,2.178,4.8565,4.2299999999999995,2.9785,5.077,10.602500000000001,4.7035,5.039,4.218,2.0135,5.817,5.282,4.731,5.4505,5.2445,7.2005,5.5525,5.6495,0.4015000000000001,3.214,4.8985,-4.2535,3.9869999999999997,3.2815,7.161500000000001,2.3805,4.9174999999999995,7.8069999999999995,5.382,4.4094999999999995,4.2,5.566000000000001,-1.2265,4.182,4.0375,5.0525,3.6799999999999997,5.244999999999999,7.157500000000001,3.8850000000000002,5.6705,4.6165,4.6445,5.1865000000000006,4.8965,4.882499999999999,5.5009999999999994,4.739,5.3725000000000005,6.523999999999999,5.7515,5.9765,4.8945,3.7745000000000006,3.2079999999999997,4.494,5.8655,5.502,4.3134999999999994,5.6875
hsa-miR-4529-3p,-2.533,-3.0765000000000002,-3.7619999999999996,-3.7015000000000002,-3.997,-3.9685,-3.1294999999999997,-3.8300000000000005,-2.5095,0.6829999999999999,-5.609,-5.0725,-5.058999999999999,-0.9065000000000001,-4.098000000000001,-3.5985,-2.532,-2.9165,-1.634,-5.6899999999999995,-4.1845,-0.31449999999999995,-3.053,-4.867,-2.1464999999999996,-0.6935,-4.431,-5.0625,-2.6705,-7.487,-5.714499999999999,-4.0344999999999995,3.726,-5.0205,-5.8005,-4.5905000000000005,-2.5174999999999996,-4.965,-3.0415,-5.208,-5.4815,-4.0305,-4.189,-3.753,-3.2875,-2.4225,-3.7039999999999997,-4.3565,-4.9735,-4.756,-5.233,-4.162999999999999,-4.2204999999999995,-5.9415,-0.46449999999999986,-4.9365000000000006,-3.857,-2.5235,-2.0265,-4.4670000000000005
hsa-miR-4529-5p,-7.336499999999999,-2.43,-4.204,-4.75,-4.0185,9.6135,-4.0695,-3.7640000000000002,-5.713,-9.912,-6.487,-4.4315,-6.587000000000001,-3.8329999999999997,-4.708,-5.788,-4.965,-4.335,-11.618,-5.1075,-5.683,-14.968,-5.2165,-4.8645,-4.42,-9.904,-6.717499999999999,-5.1095,-4.724,-6.9495000000000005,-6.0445,-3.7535,-12.292,-5.4675,-3.69,-3.7729999999999997,-7.6795,-3.9324999999999997,-2.8345,-4.8545,-4.2705,-3.5740000000000003,-5.093999999999999,-4.136,-1.3385,-4.0485,-3.5365,-4.165,-5.2284999999999995,-2.8725,-2.5905,-4.6185,-4.802,-3.9865000000000004,-7.413500000000001,-5.529999999999999,-4.4384999999999994,-3.4270000000000005,1011.509,-5.574
hsa-miR-4530,188.876,291.81399999999996,167.50650000000002,173.722,296.985,421.5955,334.2205,243.36599999999999,300.346,347.55100000000004,201.86200000000002,251.349,115.12750000000001,199.256,118.31800000000001,222.747,124.41300000000001,279.85900000000004,286.9365,304.5265,182.653,291.04900000000004,235.504,234.22199999999998,225.152,175.19549999999998,424.26300000000003,255.17249999999999,176.376,262.3895,344.6155,251.30300000000003,188.32750000000001,172.95850000000002,348.105,275.243,214.41,379.472,371.55,405.183,237.95700000000002,90.167,374.858,374.9915,257.089,153.65,364.1545,292.73449999999997,183.091,187.8755,257.364,311.5115,133.7455,128.8855,225.552,621.3720000000001,403.072,371.0545,337.477,237.1905
hsa-miR-4531,-5.4535,-3.0140000000000002,-4.419,-5.0954999999999995,-3.8924999999999996,9.742,-2.257,-3.346,-5.468,-9.89,-4.144,-2.786,-5.7975,-1.4685,-2.999,-3.5225,-2.905,-3.4865000000000004,-10.206,-2.2835,-4.2715000000000005,-12.584999999999999,-3.8095,-3.979,-3.505,-8.0205,-5.886,-4.3,-3.821,-6.337,-5.512,-3.122,-8.3915,-4.362,-4.4555,-5.1805,-6.189500000000001,-2.162,-2.6165,-2.0925000000000002,-3.091,-3.3634999999999997,-5.1525,-3.1585,-2.7465,-1.879,-3.008,-3.102,-2.7,-4.3565,-2.843,-2.4785,-2.2765,-3.3979999999999997,-5.7865,-4.5815,-4.76,-2.8225000000000002,-3.9090000000000003,-3.8274999999999997
hsa-miR-4532,-2.0515,4.487,0.557,0.8949999999999999,3.412,11.9655,3.804,0.6599999999999999,1.22,0.4800000000000001,-3.271,1.537,-3.185,1.7760000000000002,-1.9344999999999999,0.5725,1.4865,6.213500000000001,-7.657500000000001,-1.6424999999999996,0.4965,-6.1850000000000005,1.9760000000000002,-6.1185,0.7274999999999999,-6.528499999999999,-0.5815000000000001,-5.4905,2.55,-7.2535,-0.26700000000000007,0.8109999999999999,-1.39,1.6490000000000002,0.9399999999999998,0.772,-1.916,2.016,3.534,6.299,-0.08400000000000007,-1.9555,-0.21600000000000003,2.7715,2.9850000000000003,0.41899999999999993,6.2225,-1.21,-3.429,0.9175000000000001,-1.0735,3.0255,-1.205,-1.7254999999999998,2.0195,3.2995000000000005,1.5369999999999997,3.1355,1.6175000000000002,-2.657
hsa-miR-4533,-7.3340000000000005,-4.066,-4.7555,-3.84,-5.1945,-5.8375,-4.3275,-5.104,-5.738,-7.523000000000001,-7.2299999999999995,-4.1025,-7.328,-1.6300000000000001,-6.0665,-5.2715000000000005,-4.15,-6.5575,-9.984,-5.225499999999999,-5.621,-10.618500000000001,-4.712,-6.0634999999999994,-4.263,-7.724500000000001,-7.5905000000000005,-6.8405000000000005,-4.318,-7.6450000000000005,-7.4094999999999995,-4.962,-7.528499999999999,-4.567,-7.4030000000000005,-5.689500000000001,-8.209999999999999,-4.523,-3.2825,-5.24,-5.5225,-3.8875,-6.2895,-5.464,-3.691,-3.093,-4.048,-5.006,-5.6415,-4.401,-5.4005,-4.7095,-5.6240000000000006,-5.7745,-4.7535,-6.8165000000000004,-6.208,-3.3865000000000003,-3.585,-5.093999999999999
hsa-miR-4534,-3.1904999999999997,2.3075,-0.6399999999999999,-1.4300000000000002,2.4485,9.552,2.8735,2.9065,-2.2495000000000003,-5.017,-2.323,1.3325,-2.462,1.084,0.021000000000000064,4.4408920985006264e-17,0.3484999999999999,0.36,-6.909000000000001,-0.837,-1.3995000000000002,-9.259,-0.172,-0.016500000000000098,-0.32600000000000007,-5.6215,0.6329999999999999,-2.2845,-0.275,-3.6454999999999997,-0.3775,3.9274999999999998,-6.135,-0.5790000000000001,2.9314999999999998,0.05299999999999999,-2.4355,3.1045,5.709,14.019,0.09949999999999996,-1.8219999999999998,0.3285,4.5735,5.7345,-0.24749999999999997,5.588,0.8755,-2.587,0.9834999999999999,2.1295,11.3615,0.07000000000000008,-1.5095,-1.0115,0.367,3.1395,1.2415,0.46950000000000003,-1.089
hsa-miR-4535,-4.3015,-1.746,-4.2635,-3.247,-3.5155000000000003,3.7144999999999997,-4.0305,-4.4575000000000005,-4.2765,-1.862,-6.648000000000001,-3.8890000000000002,-6.4319999999999995,-2.0995,-7.645999999999999,-4.704,-4.0065,-4.484,-5.071,-5.8505,-6.2385,-4.609,-2.9995000000000003,-1.9629999999999999,-3.867,-4.049,-5.957,-3.7310000000000003,-5.36,-6.498,-5.228,-4.424,-0.0015000000000000234,-5.432,-4.811999999999999,-4.6145,-3.879,-3.6104999999999996,-1.1495,-0.095,-5.742,-4.086,-4.429,-3.9034999999999997,-3.815,-3.1105,-2.1705,-4.9945,-7.212999999999999,-5.034,-4.3115000000000006,-0.9949999999999999,-6.5525,-5.9805,-2.7265,-5.055,-4.5385,-3.9564999999999997,-3.2634999999999996,-5.6129999999999995
hsa-miR-4536-3p,-0.18149999999999994,-0.06299999999999996,0.344,1.199,-0.026499999999999968,0.30950000000000016,1.1215,-0.12650000000000006,-0.5165,0.018999999999999975,-1.2535,-1.0924999999999998,-0.5485,2.4575,-1.3264999999999998,-0.46399999999999997,0.901,0.4765,-1.5145,-1.0275,-0.2145,-3.22,0.09699999999999999,0.413,-0.08750000000000001,-1.2479999999999998,6.0885,-0.4205,1.1605,-1.866,-0.14200000000000004,-0.2015,-2.7079999999999997,0.14700000000000002,-0.11349999999999998,-0.9969999999999999,0.534,0.0385,4.1455,-0.258,-0.4424999999999999,0.057500000000000016,0.09549999999999999,0.08949999999999998,1.299,0.385,2.0829999999999997,0.3175,-1.354,-0.1255,0.26450000000000007,0.009499999999999998,0.275,-0.27849999999999997,-0.9105000000000001,-1.5394999999999999,1.8405,1.6885000000000001,-0.49149999999999994,1.2675
